station_cd,station_g_cd,station_name,station_name_rn,line_cd,lon,lat
1110606,1110606,芦別,ASHIBETSU,11106,142.184543,43.516636
1110607,1110607,上芦別,KAMI-ASHIBETSU,11106,142.210855,43.48871
1110608,1110608,野花南,NOKANAN,11106,142.261772,43.474418
1110609,1110609,島ノ下,SHIMANOSHITA,11106,142.350406,43.3744
1110610,1110610,富良野,FURANO,11106,142.391374,43.347114
1110611,1110611,布部,NUNOBE,11106,142.400595,43.291991
1110612,1110612,山部,YAMABE,11106,142.381522,43.244645
1110613,1110613,下金山,SHIMO-KANAYAMA,11106,142.415402,43.197328
1110614,1110614,金山,KANAYAMA,11106,142.416201,43.136115
1110615,1110615,東鹿越,HIGASHI-SHIKAGOE,11106,142.523472,43.164011
1110616,1110616,幾寅,IKUTORA,11106,142.569474,43.161582
1110617,1110617,落合,OCHIAI,11106,142.669104,43.125055
1110618,1110618,新得,SHINTOKU,11106,142.832432,43.082501
1110701,1110618,新得,SHINTOKU,11107,142.832432,43.082501
1110702,1110702,十勝清水,TOKACHI-SHIMIZU,11107,142.879535,43.012892
1110703,1110703,羽帯,HAOBI,11107,142.906646,42.957499
1110704,1110704,御影,MIKAGE,11107,142.935739,42.942418
1110705,1110705,芽室,MEMURO,11107,143.047991,42.909846
1110706,1110706,大成,TAISEI,11107,143.0696659,42.91605619
1110707,1110707,西帯広,NISHI-OBIHIRO,11107,143.126351,42.923941
1110708,1110708,柏林台,HAKURINDAI,11107,143.1645,42.928877
1110709,1110709,帯広,OBIHIRO,11107,143.20195,42.917997
1110710,1110710,札内,SATSUNAI,11107,143.256248,42.912697
1110711,1110711,稲士別,INASHIBETSU,11107,143.297528,42.903963
1110712,1110712,幕別,MAKUBETSU,11107,143.359293,42.90784
1110713,1110713,利別,TOSHIBETSU,11107,143.424445,42.934706
1110714,1110714,池田,IKEDA,11107,143.453033,42.922186
1110715,1110715,十弗,TOFUTSU,11107,143.500797,42.855781
1110716,1110716,豊頃,TOYOKORO,11107,143.538615,42.817548
1110717,1110717,新吉野,SHIN-YOSHINO,11107,143.60826,42.778238
1110718,1110718,浦幌,URAHORO,11107,143.651568,42.810849
1110719,1110719,上厚内,KAMIATSUNAI,11107,143.749788,42.831881
1110720,1110720,厚内,ATSUNAI,11107,143.814389,42.809539
1110721,1110721,直別,CHOKUBETSU,11107,143.863607,42.852205
1110722,1110722,尺別,SHAKUBETSU,11107,143.904331,42.869163
1110723,1110723,音別,ONBETSU,11107,143.932442,42.888997
1110724,1110724,古瀬,FURUSE,11107,144.008589,42.947893
1110725,1110725,白糠,SHIRANUKA,11107,144.076879,42.956161
1110726,1110726,西庶路,NISHI-SHORO,11107,144.129826,42.976138
1110727,1110727,庶路,SHORO,11107,144.150018,42.983601
1110728,1110728,大楽毛,OTANOSHIKE,11107,144.273879,43.009078
1110729,1110729,新大楽毛,SHIN-OTANOSHIKE,11107,144.295558,43.009423
1110730,1110730,新富士,SHIN-FUJI,11107,144.350758,43.001605
1110731,1110731,釧路,KUSHIRO,11107,144.381983,42.990584
1110801,1110731,釧路,KUSHIRO,11108,144.381983,42.990584
1110802,1110802,東釧路,HIGASHI-KUSHIRO,11108,144.411307,42.995207
1110803,1110803,武佐,MUSA,11108,144.426681,42.991364
1110804,1110804,別保,BEPPO,11108,144.469596,42.994384
1110805,1110805,上尾幌,KAMI-OBORO,11108,144.61239,43.032893
1110806,1110806,尾幌,OBORO,11108,144.703758,43.018463
1110807,1110807,門静,MONSHIZU,11108,144.782638,43.057581
1110808,1110808,厚岸,AKKESHI,11108,144.841355,43.056248
1110809,1110809,糸魚沢,ITOIZAWA,11108,144.92545,43.103506
1110810,1110810,茶内,CHANAI,11108,145.02801,43.129266
1110811,1110811,浜中,HAMANAKA,11108,145.099657,43.15754
1110812,1110812,姉別,ANEBETSU,11108,145.194716,43.196201
1110813,1110813,厚床,ATTOKO,11108,145.252096,43.228224
1110814,1110814,初田牛,HATTAUSHI,11108,145.32277,43.204542
1110815,1110815,別当賀,BETTOGA,11108,145.423593,43.218427
1110816,1110816,落石,OSHIISHI,11108,145.519449,43.198335
1110817,1110817,昆布盛,KOMBUMORI,11108,145.542444,43.228593
1110818,1110818,西和田,NISHI-WADA,11108,145.541817,43.268043
1110819,1110819,花咲,HANASAKI,11108,145.575045,43.295388
1110820,1110820,東根室,HIGASHI-NEMURO,11108,145.597234,43.323655
1110821,1110821,根室,NEMURO,11108,145.582707,43.326923
1110901,1110434,苫小牧,TOMAKOMAI,11109,141.596837,42.639665
1110902,1110502,沼ノ端,NUMANOHATA,11109,141.693132,42.672057
1110903,1110903,植苗,UENAE,11109,141.735344,42.713645
1110904,1110904,美々,BIBI,11109,141.711387,42.777418
1110905,1110905,新千歳空港,NEW CHITOSE AIRPORT,11109,141.680823,42.787546
1110906,1110906,南千歳,MINAMI-CHITOSE,11109,141.675388,42.80804
1110907,1110907,千歳,CHITOSE,11109,141.651934,42.82811
1110908,1110908,長都,OSATSU,11109,141.622987,42.852178
1110909,1110909,サッポロビール庭園,SAPPORO-BEER-TEIEN,11109,141.605616,42.866812
1110910,1110910,恵庭,ENIWA,11109,141.586234,42.883076
1110911,1110911,恵み野,MEGUMINO,11109,141.574429,42.902704
1110912,1110912,島松,SHIMAMATSU,11109,141.573117,42.922504
1110913,1110913,北広島,KITA-HIROSHIMA,11109,141.563115,42.979239
1110914,1110914,上野幌,KAMI-NOPPORO,11109,141.487317,43.016177
1110915,1110915,新札幌,SHIN-SAPPORO,11109,141.47237,43.038732
1110916,1110916,平和,HEIWA,11109,141.437967,43.04695
1110917,1110317,白石,SHIROISHI,11109,141.413612,43.054715
1110918,1110316,苗穂,NAEBO,11109,141.373631,43.068539
1110919,1110315,札幌,SAPPORO,11109,141.350768,43.068612
1111001,1110906,南千歳,MINAMI-CHITOSE,11110,141.675388,42.80804
1111002,1110506,追分,OIWAKE,11110,141.810678,42.873316
1111003,1111003,東追分,HIGASHI-OIWAKE,11110,141.83228,42.902377
1111004,1111004,川端,KAEBATA,11110,141.894791,42.914721
1111005,1111005,滝ノ上,TAKINOUE,11110,141.97628,42.910244
1111006,1111006,十三里,TOMISATO,11110,142.024478,42.914667
